country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB","26-02-2026 19:00:00",25.494,81.863,NO2,12,12,12
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","26-02-2026 19:00:00",22.5367507,88.3638022,PM2.5,73,296,211
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","26-02-2026 19:00:00",22.5367507,88.3638022,NH3,6,12,9
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","26-02-2026 19:00:00",28.999264,77.7590354,OZONE,7,17,14
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","26-02-2026 19:00:00",22.58157048,88.41002457,CO,33,105,38
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","26-02-2026 19:00:00",22.556640,88.342674,NO2,28,98,67
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","26-02-2026 19:00:00",22.556640,88.342674,CO,15,109,19
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","26-02-2026 19:00:00",22.51106,88.35142,SO2,9,46,20
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","26-02-2026 19:00:00",22.5448082,88.3403691,PM10,NA,NA,NA
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","26-02-2026 19:00:00",22.5448082,88.3403691,OZONE,7,56,44
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","26-02-2026 19:00:00",26.6879226,88.4152495,NO2,16,22,19
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","26-02-2026 19:00:00",25.697189,85.245900,NH3,14,21,19
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","26-02-2026 19:00:00",25.697189,85.245900,OZONE,22,143,122
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","26-02-2026 19:00:00",25.560083,87.553265,CO,64,96,84
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","26-02-2026 19:00:00",26.0881305,87.93840336,PM2.5,57,120,89
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","26-02-2026 19:00:00",26.0881305,87.93840336,CO,16,23,22
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","26-02-2026 19:00:00",27.308328,84.531742,PM10,105,222,136
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","26-02-2026 19:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","26-02-2026 19:00:00",26.63086,84.90051,PM10,33,147,96
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","26-02-2026 19:00:00",26.63086,84.90051,NH3,3,3,3
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","26-02-2026 19:00:00",16.554731,80.649110,SO2,13,18,16
